\sortInfo = ASC,scan_id,frame_num,band
|in_row_id|in_ra             |in_dec            |band  |crval1          |crval2         |ra1             |dec1           |ra2             |dec2           |ra3             |dec3           |ra4             |dec4           |magzp   |magzpunc|modeint  |scan_id|scangrp|frame_num|date_obs               |mjd_obs       |dtanneal         |utanneal               |exptime|debgain|febgain|moon_sep|saa_sep|qual_frame|qual_scan|
|long     |double            |double            |i     |double          |double         |double          |double         |double          |double         |double          |double         |double          |double         |double  |double  |double   |char   |char   |int      |char                   |double        |double           |char                   |double |double |double |double  |double |int       |int      |
|         |deg               |deg               |      |deg             |deg            |deg             |deg            |deg             |deg            |deg             |deg            |deg             |deg            |mag     |mag     |DN       |       |       |         |                       |yr            |s                |                       |s      |e-/DEB ADU|e-/SUR ADU|deg     |deg    |          |         |
|         |                  |                  |null  |null            |null           |null            |null           |null            |null           |null            |null           |null            |null           |null    |null    |null     |null   |null   |null     |null                   |null          |null             |null                   |null   |null   |null   |null    |null   |null      |null     |
         1 148.88822000000000 69.065290000000000      1 148.393076107359 69.324809563459 148.053384734023 69.862550712386 149.919208478419 69.431136094858 148.712499149851 68.789264598579 146.873220294056 69.206427535967 20.75200 0.006000    12.479  03637a      7a       208 2010-04-13 20:42:23.987 55299.86277763 28623.63314145800 2010-04-13 12:45:20.354     7.7   3.750  5.7400   94.974  80.059         10         5
         1 148.88822000000000 69.065290000000000      2 148.392426652442 69.324304579451 148.054333880924 69.863764515048 149.925526554451 69.426887357182 148.710658214603 68.787187047581 146.865596032741 69.209389615111 19.59600 0.007000    28.806  03637a      7a       208 2010-04-13 20:42:23.987 55299.86277763 28623.63314145800 2010-04-13 12:45:20.354     7.7   4.600  6.8600   94.974  80.059         10         5
         1 148.88822000000000 69.065290000000000      3 148.391170329423 69.323844552172 148.069006721526 69.864156663751 149.924288250476 69.426705135815 148.693054683897 68.786287667063 146.865521512205 69.208823130899 17.80000 0.012000  1231.076  03637a      7a       208 2010-04-13 20:42:23.987 55299.86277763 28623.63314145800 2010-04-13 12:45:20.354     8.8   6.830 12.8300   94.974  80.059         10         5
         1 148.88822000000000 69.065290000000000      4 148.394703849830 69.324328222347 148.059874462117 69.867255013394 149.930056259047 69.434263135663 148.707809519435 68.785196279896 146.867018579644 69.202823770472 12.94500 0.012000   403.895  03637a      7a       208 2010-04-13 20:42:23.987 55299.86277763 28623.63314145800 2010-04-13 12:45:20.354     8.8   4.730  8.8600   94.974  80.059         10         5
         1 148.88822000000000 69.065290000000000      1 148.562765893017 68.829822295946 148.224468682388 69.367062624988 150.053428800079 68.938585681864 148.881336558087 68.294764449659 147.078118421451 68.709354257579 20.75200 0.006000    13.227  03638a      8a       231 2010-04-13 22:17:34.024 55299.92886602 34333.67017459870 2010-04-13 12:45:20.354     7.7   3.750  5.7400   94.865  83.141         10         5
         1 148.88822000000000 69.065290000000000      2 148.562136880899 68.829316344751 148.225381117110 69.368277725964 150.059663020625 68.934347991698 148.879559999799 68.292684130642 147.070635448573 68.712306502990 19.59600 0.007000    29.094  03638a      8a       231 2010-04-13 22:17:34.024 55299.92886602 34333.67017459870 2010-04-13 12:45:20.354     7.7   4.600  6.8600   94.865  83.141         10         5
         1 148.88822000000000 69.065290000000000      3 148.560914037147 68.828854442055 148.239710730494 69.368690849843 150.058454751405 68.934163971535 148.862350148692 68.291757845695 147.070568376726 68.711739585631 17.80000 0.012000  1230.008  03638a      8a       231 2010-04-13 22:17:34.024 55299.92886602 34333.67017459870 2010-04-13 12:45:20.354     8.8   6.830 12.8300   94.865  83.141         10         5
         1 148.88822000000000 69.065290000000000      4 148.564362899274 68.829343394873 148.230754344744 69.371776282446 150.063991727377 68.941730936696 148.876794600705 68.290688931853 147.072090095193 68.705743034685 12.94500 0.012000   402.156  03638a      8a       231 2010-04-13 22:17:34.024 55299.92886602 34333.67017459870 2010-04-13 12:45:20.354     8.8   4.730  8.8600   94.865  83.141         10         5
         1 148.88822000000000 69.065290000000000      1 148.514123684662 69.223942002326 148.176124022667 69.761690206425 150.033145408182 69.330280156262 148.832039135202 68.688393624065 147.001262854513 69.105619191926 20.75200 0.006000    13.064  03641a      1a       208 2010-04-13 23:52:55.061 55299.99508172 40054.70728701350 2010-04-13 12:45:20.354     7.7   3.750  5.7400   94.064  88.953         10         5
         1 148.88822000000000 69.065290000000000      2 148.513477206646 69.223437024396 148.177068841583 69.762903973456 150.039435072010 69.326031640879 148.830206523128 68.686316086280 146.993675250185 69.108581711859 19.59600 0.007000    29.095  03641a      1a       208 2010-04-13 23:52:55.061 55299.99508172 40054.70728701350 2010-04-13 12:45:20.354     7.7   4.600  6.8600   94.064  88.953         10         5
